Name,Members FTE,Lobbying cost,Interest represented,EP passes on 2026-05-25,all EP passes,Meetings,country,gdp_usd,population,inflation_rate,gdp_per_capita,lobbying_gdp_ratio
Connect Europe,7.5,1500000,Promotes their own interests or the collective interests of their members,6.0,77.0,111.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2537.7027198301457
Syngenta Crop Protection AG,1.85,1500000,Promotes their own interests or the collective interests of their members,3.0,50.0,31.0,Switzerland,828508926958.393,8777088.0,2.83502798644451,94394.51068035241,1810.4813975955249
Superintelligence Computing Systems SICSAI AB,0.1,1500000,Promotes their own interests or the collective interests of their members,0.0,0.0,0.0,Sweden,575071237640.921,10486941.0,8.36929098869189,54836.89072351232,2608.3724968637916
Deutsche Bank AG,3.3,1500000,Promotes their own interests or the collective interests of their members,4.0,49.0,177.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,357.0559984697936
Association of Cities and Regions for sustainable Resource management,13.6,1500000,Promotes their own interests or the collective interests of their members,2.0,42.0,1.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2537.7027198301457
Direction des Services de la Navigation Aérienne,0.5,1500000,Promotes their own interests or the collective interests of their members,0.0,0.0,1.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,536.7133129362044
Société Générale,1.85,1500000,Promotes their own interests or the collective interests of their members,2.0,29.0,84.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,536.7133129362044
Vereniging van de Nederlandse Pluimveeverwerkende Industrie,7.5,1500000,Promotes their own interests or the collective interests of their members,0.0,0.0,5.0,Netherlands,1046540797548.64,17700982.0,10.0012078753473,59123.31855648687,1433.293382841374
MedTech Europe,2.95,1500000,Promotes their own interests or the collective interests of their members,5.0,51.0,83.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2537.7027198301457
TÜV-Verband e. V.,10.85,1500000,Promotes their own interests or the collective interests of their members,2.0,49.0,4.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,357.0559984697936
Ibec,10.8,1500000,Promotes their own interests or the collective interests of their members,7.0,36.0,68.0,Ireland,548341794599.09,5212836.0,7.82945736434105,105190.68595273091,2735.5200985485653
Nederlandse Vereniging van Banken / Dutch Banking Association,8.25,1500000,Promotes their own interests or the collective interests of their members,3.0,28.0,12.0,Netherlands,1046540797548.64,17700982.0,10.0012078753473,59123.31855648687,1433.293382841374
American Chamber of Commerce to the European Union,10.2,1500000,Promotes their own interests or the collective interests of their members,16.0,158.0,234.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2537.7027198301457
European Disability Forum,19.0,1500000,Promotes their own interests or the collective interests of their members,11.0,128.0,51.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2537.7027198301457
European Telecommunications Standards Institute,2.0,1500000,Promotes their own interests or the collective interests of their members,2.0,3.0,10.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,536.7133129362044
SANOFI,2.5,1500000,Promotes their own interests or the collective interests of their members,4.0,50.0,59.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,536.7133129362044
YARA  BELGIUM S.A.,5.0,1500000,Promotes their own interests or the collective interests of their members,5.0,31.0,57.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2537.7027198301457
