"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
366427819671-47,"International Code of Conduct for Private Security Service Providers Association",8,1750000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,SWITZERLAND,,,,https://www.lobbyfacts.eu/datacard/international-code-of-conduct-for-private-security-service-providers-association?rid=366427819671-47
37943526882-24,"Finance Watch",7,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,94,38,https://www.lobbyfacts.eu/datacard/finance-watch?rid=37943526882-24
386735920730-21,"Alliance Europeennee des YMCAs",2.25,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,2,2,https://www.lobbyfacts.eu/datacard/alliance-europeennee-des-ymcas?rid=386735920730-21
4172526951-19,"European Association of Co-operative Banks",6,1750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,6,155,42,https://www.lobbyfacts.eu/datacard/european-association-of-co-operative-banks?rid=4172526951-19
49654992078-52,Merck,4.45,1750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,60,35,https://www.lobbyfacts.eu/datacard/merck?rid=49654992078-52
62379064909-15,"Deutscher Sparkassen-und Giroverband",5.5,1750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,87,76,https://www.lobbyfacts.eu/datacard/deutscher-sparkassen-und-giroverband?rid=62379064909-15
668939195362-59,"Eurasia Group Ltd.",0.25,1750000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,24,https://www.lobbyfacts.eu/datacard/eurasia-group-ltd?rid=668939195362-59
7459401905-60,"Intel Corporation",2.8,1750000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,1,47,73,https://www.lobbyfacts.eu/datacard/intel-corporation?rid=7459401905-60
7721359944-96,"IBM Corporation",6.25,1750000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,6,59,168,https://www.lobbyfacts.eu/datacard/ibm-corporation?rid=7721359944-96
7749519702-29,"Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.",9.35,1750000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,5,85,72,https://www.lobbyfacts.eu/datacard/bundesvereinigung-der-deutschen-arbeitgeberverbände-ev?rid=7749519702-29
