Name,Members FTE,Lobbying cost,Interest represented,Head office,EU office,EP passes on 2026-05-25,all EP passes,Meetings,country_merge,policy_areas
European Fund and Asset Management Association,13.35,2750000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,11.0,147.0,39.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Environment']"
Philip Morris International Inc.,4.9,2750000,Promotes their own interests or the collective interests of their members,Switzerland,Belgium,10.0,99.0,11.0,Switzerland,"['Artificial Intelligence', 'Health', 'Trade', 'Environment']"
Gesamtverband der Deutschen Versicherungswirtschaft e.V.,13.3,2750000,Promotes their own interests or the collective interests of their members,Germany,Belgium,10.0,123.0,82.0,Germany,"['Artificial Intelligence', 'Finance & Banking']"
Volkswagen Aktiengesellschaft,15.95,2750000,Promotes their own interests or the collective interests of their members,Germany,Belgium,5.0,59.0,170.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Trade', 'Environment']"
Brunswick Group Limited srl,10.0,2610000,Advances interests of their clients,Belgium,Belgium,21.0,315.0,46.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Environment']"
Forward Global,25.0,2545000,Advances interests of their clients,France,Belgium,17.0,109.0,70.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Trade', 'Environment']"
International Capital Market Association,7.7,2500000,Promotes their own interests or the collective interests of their members,Switzerland,Belgium,2.0,7.0,34.0,Switzerland,"['Artificial Intelligence', 'Finance & Banking', 'Trade', 'Environment']"
Bristol-Myers Squibb Company,3.95,2500000,Promotes their own interests or the collective interests of their members,United States,Belgium,7.0,69.0,13.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Health', 'Trade', 'Environment']"
Dow,6.3,2500000,Promotes their own interests or the collective interests of their members,Switzerland,Belgium,4.0,48.0,106.0,Switzerland,"['Artificial Intelligence', 'Agriculture', 'Transport', 'Energy', 'Trade', 'Environment']"
Equinor ASA,6.8,2500000,Promotes their own interests or the collective interests of their members,Norway,Belgium,5.0,66.0,97.0,Norway,"['Artificial Intelligence', 'Finance & Banking', 'Energy', 'Environment']"
DHL Group,8.8,2500000,Promotes their own interests or the collective interests of their members,Germany,Belgium,5.0,102.0,88.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Trade', 'Environment']"
E.ON SE,9.05,2500000,Promotes their own interests or the collective interests of their members,Germany,Belgium,6.0,81.0,57.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Environment']"
Novartis International AG,3.25,2500000,Promotes their own interests or the collective interests of their members,Switzerland,Belgium,4.0,92.0,47.0,Switzerland,"['Artificial Intelligence', 'Transport', 'Health', 'Trade', 'Environment']"
VDMA e.V.,13.75,2500000,Promotes their own interests or the collective interests of their members,Germany,Belgium,6.0,45.0,81.0,Germany,"['Artificial Intelligence', 'Environment']"
Hill & Knowlton International Belgium,10.5,2345000,Advances interests of their clients,Belgium,Belgium,7.0,181.0,19.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Environment']"
Rasmussen Global,14.5,2270000,Advances interests of their clients,Denmark,Belgium,17.0,69.0,75.0,Denmark,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Energy', 'Trade', 'Justice & Rights']"
Allianz SE,4.55,2250000,Promotes their own interests or the collective interests of their members,Germany,Belgium,4.0,74.0,59.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Health', 'Environment']"
Bundesverband deutscher Banken e.V.,16.25,2250000,Promotes their own interests or the collective interests of their members,Germany,Belgium,5.0,46.0,108.0,Germany,"['Artificial Intelligence', 'Finance & Banking']"
Wirtschaftskammer Österreich,15.0,2250000,Promotes their own interests or the collective interests of their members,Austria,Belgium,0.0,3.0,95.0,Austria,"['Artificial Intelligence', 'Finance & Banking', 'Energy', 'Trade', 'Environment']"
ORLEN S.A.,9.5,2250000,Promotes their own interests or the collective interests of their members,Poland,Poland,5.0,25.0,28.0,Poland,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Trade', 'Environment']"
European Mortgage Federation - European Covered Bond Council,12.0,2250000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,78.0,11.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Energy', 'Environment']"
International Swaps and Derivatives Association,4.0,2250000,Promotes their own interests or the collective interests of their members,United States,Belgium,1.0,36.0,39.0,United States,['Other']
Fédération Française de l'Assurance,11.5,2250000,Promotes their own interests or the collective interests of their members,France,Belgium,8.0,94.0,24.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Environment']"
Confederation of Danish Industry,10.85,2250000,Promotes their own interests or the collective interests of their members,Denmark,Belgium,12.0,144.0,73.0,Denmark,['Other']
JT International,6.0,2250000,Promotes their own interests or the collective interests of their members,Switzerland,Belgium,5.0,66.0,4.0,Switzerland,"['Artificial Intelligence', 'Finance & Banking', 'Health', 'Trade', 'Environment']"
Acumen Public Affairs,30.2,2250000,Advances interests of their clients,Belgium,Belgium,52.0,387.0,16.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment', 'Justice & Rights']"
Robert Bosch GmbH,12.0,2250000,Promotes their own interests or the collective interests of their members,Germany,Belgium,7.0,60.0,126.0,Germany,"['Artificial Intelligence', 'Digital Markets', 'Transport', 'Energy']"
Alber & Geiger,12.5,2100000,Advances interests of their clients,Germany,Belgium,4.0,127.0,13.0,Germany,"['Artificial Intelligence', 'Transport', 'Health', 'Energy', 'Trade']"
#SustainablePublicAffairs,23.0,2025000,Advances interests of their clients,Belgium,Belgium,20.0,84.0,29.0,Belgium,"['Artificial Intelligence', 'Transport', 'Environment']"
Euroseeds,14.0,2000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,4.0,44.0,24.0,Belgium,"['Artificial Intelligence', 'Agriculture', 'Trade']"
LVMH - Moët Hennessy Louis Vuitton,5.7,2000000,Promotes their own interests or the collective interests of their members,France,Belgium,4.0,48.0,62.0,France,"['Artificial Intelligence', 'Digital Markets', 'Trade']"
TikTok Technology Ltd,7.85,2000000,Promotes their own interests or the collective interests of their members,Ireland,Belgium,4.0,18.0,54.0,Ireland,"['Artificial Intelligence', 'Digital Markets', 'Environment']"
F. Hoffmann-La Roche Ltd,5.7,2000000,Promotes their own interests or the collective interests of their members,Switzerland,Belgium,1.0,18.0,13.0,Switzerland,"['Artificial Intelligence', 'Health', 'Trade', 'Environment']"
Mercedes-Benz Group AG,5.5,2000000,Promotes their own interests or the collective interests of their members,Germany,Belgium,4.0,68.0,103.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Trade', 'Environment']"
Airbus,6.0,2000000,Promotes their own interests or the collective interests of their members,Netherlands,Belgium,3.0,105.0,395.0,Netherlands,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Trade', 'Environment']"
Boehringer Ingelheim,2.0,2000000,Promotes their own interests or the collective interests of their members,Germany,Belgium,3.0,38.0,11.0,Germany,"['Artificial Intelligence', 'Health', 'Trade', 'Environment']"
Novo Nordisk A/S,3.55,2000000,Promotes their own interests or the collective interests of their members,Denmark,Denmark,1.0,22.0,24.0,Denmark,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Health', 'Environment']"
BP p.l.c.,5.6,2000000,Promotes their own interests or the collective interests of their members,United Kingdom,Belgium,1.0,72.0,78.0,United Kingdom,"['Artificial Intelligence', 'Agriculture', 'Transport', 'Energy', 'Trade', 'Environment']"
ELECTRICITE DE FRANCE,7.35,2000000,Promotes their own interests or the collective interests of their members,France,Belgium,9.0,123.0,163.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Energy', 'Environment']"
Liepaja Special Economic Zone Authority,3.75,2000000,Promotes their own interests or the collective interests of their members,Latvia,Latvia,0.0,0.0,0.0,Latvia,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Trade']"
Cisco Systems Inc.,5.95,2000000,Promotes their own interests or the collective interests of their members,United States,Belgium,3.0,26.0,110.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
